route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
00100,01001,00100_01001_3886,北大路バスターミナル・下鴨神社・出町柳駅,,1,00100_01001_3886,S_00100000,1,0
00100,01001,00100_01001_3887,北大路バスターミナル・下鴨神社・出町柳駅,,1,00100_01001_3887,S_00100000,1,0
00100,01001,00100_01001_3888,北大路バスターミナル・下鴨神社・出町柳駅,,1,00100_01001_3888,S_00100000,1,0
00100,01001,00100_01001_3889,北大路バスターミナル・下鴨神社・出町柳駅,,1,00100_01001_3889,S_00100000,1,0
00100,01001,00100_01001_3890,北大路バスターミナル・下鴨神社・出町柳駅,,1,00100_01001_3890,S_00100000,1,0
00100,01001,00100_01001_3900,北大路バスターミナル・下鴨神社・出町柳駅,,1,00100_01001_3900,S_00100000,1,0
00100,01001,00100_01001_3901,北大路バスターミナル・下鴨神社・出町柳駅,,1,00100_01001_3901,S_00100000,1,0
00100,01001,00100_01001_3902,北大路バスターミナル・下鴨神社・出町柳駅,,1,00100_01001_3902,S_00100000,1,0
00100,01001,00100_01001_3903,北大路バスターミナル・下鴨神社・出町柳駅,,1,00100_01001_3903,S_00100000,1,0
00100,01001,00100_01001_3904,北大路バスターミナル・下鴨神社・出町柳駅,,1,00100_01001_3904,S_00100000,1,0
00100,01001,00100_01001_3905,北大路バスターミナル・下鴨神社・出町柳駅,,1,00100_01001_3905,S_00100000,1,0
00100,01001,00100_01001_4044,北大路バスターミナル・下鴨神社・出町柳駅,,1,00100_01001_4044,S_00100000,1,0
00100,01001,00100_01001_4045,北大路バスターミナル・下鴨神社・出町柳駅,,1,00100_01001_4045,S_00100000,1,0
00100,01001,00100_01001_4046,北大路バスターミナル・下鴨神社・出町柳駅,,1,00100_01001_4046,S_00100000,1,0
00100,01001,00100_01001_4064,北大路バスターミナル・下鴨神社・出町柳駅,,1,00100_01001_4064,S_00100000,1,0
00100,01001,00100_01001_4077,北大路バスターミナル・下鴨神社・出町柳駅,,1,00100_01001_4077,S_00100000,1,0
00100,01001,00100_01001_4078,北大路バスターミナル・下鴨神社・出町柳駅,,1,00100_01001_4078,S_00100000,1,0
00100,02001,00100_02001_14547,北大路バスターミナル・下鴨神社・出町柳駅,,1,00100_02001_14547,S_00100000,1,0
00100,02001,00100_02001_14548,北大路バスターミナル・下鴨神社・出町柳駅,,1,00100_02001_14548,S_00100000,1,0
00100,02001,00100_02001_14559,北大路バスターミナル・下鴨神社・出町柳駅,,1,00100_02001_14559,S_00100000,1,0
00100,02001,00100_02001_14562,北大路バスターミナル・下鴨神社・出町柳駅,,1,00100_02001_14562,S_00100000,1,0
00100,02001,00100_02001_14563,北大路バスターミナル・下鴨神社・出町柳駅,,1,00100_02001_14563,S_00100000,1,0
00100,02001,00100_02001_14564,北大路バスターミナル・下鴨神社・出町柳駅,,1,00100_02001_14564,S_00100000,1,0
00100,02001,00100_02001_14582,北大路バスターミナル・下鴨神社・出町柳駅,,1,00100_02001_14582,S_00100000,1,0
00100,02001,00100_02001_14585,北大路バスターミナル・下鴨神社・出町柳駅,,1,00100_02001_14585,S_00100000,1,0
00100,02001,00100_02001_14603,北大路バスターミナル・下鴨神社・出町柳駅,,1,00100_02001_14603,S_00100000,1,0
00100,02001,00100_02001_14604,北大路バスターミナル・下鴨神社・出町柳駅,,1,00100_02001_14604,S_00100000,1,0
00100,02001,00100_02001_14616,北大路バスターミナル・下鴨神社・出町柳駅,,1,00100_02001_14616,S_00100000,1,0
00100,02001,00100_02001_14617,北大路バスターミナル・下鴨神社・出町柳駅,,1,00100_02001_14617,S_00100000,1,0
00100,02001,00100_02001_14620,北大路バスターミナル・下鴨神社・出町柳駅,,1,00100_02001_14620,S_00100000,1,0
00100,02001,00100_02001_14621,北大路バスターミナル・下鴨神社・出町柳駅,,1,00100_02001_14621,S_00100000,1,0
00100,02001,00100_02001_14627,北大路バスターミナル・下鴨神社・出町柳駅,,1,00100_02001_14627,S_00100000,1,0
00100,02001,00100_02001_14628,北大路バスターミナル・下鴨神社・出町柳駅,,1,00100_02001_14628,S_00100000,1,0
00100,02001,00100_02001_14638,北大路バスターミナル・下鴨神社・出町柳駅,,1,00100_02001_14638,S_00100000,1,0
00100,02001,00100_02001_14640,北大路バスターミナル・下鴨神社・出町柳駅,,1,00100_02001_14640,S_00100000,1,0
00100,02001,00100_02001_14647,北大路バスターミナル・下鴨神社・出町柳駅,,1,00100_02001_14647,S_00100000,1,0
00100,02001,00100_02001_14648,北大路バスターミナル・下鴨神社・出町柳駅,,1,00100_02001_14648,S_00100000,1,0
00100,02001,00100_02001_14651,北大路バスターミナル・下鴨神社・出町柳駅,,1,00100_02001_14651,S_00100000,1,0
00100,02001,00100_02001_14652,北大路バスターミナル・下鴨神社・出町柳駅,,1,00100_02001_14652,S_00100000,1,0
00100,02001,00100_02001_14659,北大路バスターミナル・下鴨神社・出町柳駅,,1,00100_02001_14659,S_00100000,1,0
00100,02001,00100_02001_14660,北大路バスターミナル・下鴨神社・出町柳駅,,1,00100_02001_14660,S_00100000,1,0
00100,02001,00100_02001_14667,北大路バスターミナル・下鴨神社・出町柳駅,,1,00100_02001_14667,S_00100000,1,0
00100,02001,00100_02001_14668,北大路バスターミナル・下鴨神社・出町柳駅,,1,00100_02001_14668,S_00100000,1,0
00100,02001,00100_02001_14674,北大路バスターミナル・下鴨神社・出町柳駅,,1,00100_02001_14674,S_00100000,1,0
00100,02001,00100_02001_14675,北大路バスターミナル・下鴨神社・出町柳駅,,1,00100_02001_14675,S_00100000,1,0
00100,02001,00100_02001_14681,北大路バスターミナル・下鴨神社・出町柳駅,,1,00100_02001_14681,S_00100000,1,0
