from_stop_id,to_stop_id,transfer_type,min_transfer_time
003310,003310,0,
003310,003320,0,
003310,003330,0,
003310,003340,0,
003310,003410,0,
003310,003420,0,
003310,003430,0,
003310,003440,0,
003320,003310,0,
003320,003320,0,
003320,003330,0,
003320,003340,0,
003320,003410,0,
003320,003420,0,
003320,003430,0,
003320,003440,0,
003330,003310,0,
003330,003320,0,
003330,003330,0,
003330,003340,0,
003330,003410,0,
003330,003420,0,
003330,003430,0,
003330,003440,0,
003340,003310,0,
003340,003320,0,
003340,003330,0,
003340,003340,0,
003340,003410,0,
003340,003420,0,
003340,003430,0,
003340,003440,0,
003410,003310,0,
003410,003320,0,
003410,003330,0,
003410,003340,0,
003410,003410,0,
003410,003420,0,
003410,003430,0,
003410,003440,0,
003420,003310,0,
003420,003320,0,
003420,003330,0,
003420,003340,0,
003420,003410,0,
003420,003420,0,
003420,003430,0,
003420,003440,0,
003430,003310,0,
003430,003320,0,
003430,003330,0,
003430,003340,0,
003430,003410,0,
003430,003420,0,
003430,003430,0,
003430,003440,0,
003440,003310,0,
003440,003320,0,
003440,003330,0,
003440,003340,0,
003440,003410,0,
003440,003420,0,
003440,003430,0,
003440,003440,0,
004110,004110,0,
004110,004120,0,
004110,004200,0,
004110,004300,0,
004110,004400,0,
004120,004110,0,
004120,004120,0,
004120,004200,0,
004120,004300,0,
004120,004400,0,
004200,004110,0,
004200,004120,0,
004200,004200,0,
004200,004300,0,
004200,004400,0,
004300,004110,0,
004300,004120,0,
004300,004200,0,
004300,004300,0,
004300,004400,0,
004400,004110,0,
004400,004120,0,
004400,004200,0,
004400,004300,0,
004400,004400,0,
005100,005100,0,
005100,005200,0,
005100,005300,0,
005100,005400,0,
005200,005100,0,
005200,005200,0,
005200,005300,0,
005200,005400,0,
005300,005100,0,
005300,005200,0,
005300,005300,0,
005300,005400,0,
005400,005100,0,
005400,005200,0,
005400,005300,0,
005400,005400,0,
008110,008110,0,
008110,008120,0,
008110,008200,0,
008110,008300,0,
008110,008400,0,
008120,008110,0,
008120,008120,0,
008120,008200,0,
008120,008300,0,
008120,008400,0,
008200,008110,0,
008200,008120,0,
008200,008200,0,
008200,008300,0,
008200,008400,0,
008300,008110,0,
008300,008120,0,
008300,008200,0,
008300,008300,0,
008300,008400,0,
008400,008110,0,
008400,008120,0,
008400,008200,0,
008400,008300,0,
008400,008400,0,
009100,009100,0,
009100,009200,0,
009100,009310,0,
009100,009400,0,
009200,009100,0,
009200,009200,0,
009200,009310,0,
009200,009400,0,
009310,009100,0,
009310,009200,0,
009310,009310,0,
009310,009400,0,
009400,009100,0,
009400,009200,0,
009400,009310,0,
009400,009400,0,
014100,014100,0,
014100,014200,0,
014100,014300,0,
014100,014400,0,
014200,014100,0,
014200,014200,0,
014200,014300,0,
014200,014400,0,
014300,014100,0,
014300,014200,0,
014300,014300,0,
014300,014400,0,
014400,014100,0,
014400,014200,0,
014400,014300,0,
014400,014400,0,
021100,021100,0,
021100,021200,0,
021100,021300,0,
021100,021400,0,
021200,021100,0,
021200,021200,0,
021200,021300,0,
021200,021400,0,
021300,021100,0,
021300,021200,0,
021300,021300,0,
021300,021400,0,
021400,021100,0,
021400,021200,0,
021400,021300,0,
021400,021400,0,
039300,039300,0,
039300,039400,0,
039400,039300,0,
039400,039400,0,
040200,040200,0,
040200,040300,0,
040200,040410,0,
040200,040420,0,
040300,040200,0,
040300,040300,0,
040300,040410,0,
040300,040420,0,
040410,040200,0,
040410,040300,0,
040410,040410,0,
040410,040420,0,
040420,040200,0,
040420,040300,0,
040420,040410,0,
040420,040420,0,
044100,044100,0,
044100,044200,0,
044100,044310,0,
044100,044320,0,
044100,044400,0,
044200,044100,0,
044200,044200,0,
044200,044310,0,
044200,044320,0,
044200,044400,0,
044310,044100,0,
044310,044200,0,
044310,044310,0,
044310,044320,0,
044310,044400,0,
044320,044100,0,
044320,044200,0,
044320,044310,0,
044320,044320,0,
044320,044400,0,
044400,044100,0,
044400,044200,0,
044400,044310,0,
044400,044320,0,
044400,044400,0,
048100,048100,0,
048100,048200,0,
048100,048300,0,
048100,048400,0,
048200,048100,0,
048200,048200,0,
048200,048300,0,
048200,048400,0,
